"BehaviorSpace results (NetLogo 5.2.1)"
"trust01_v8.nlogo"
"experiment200"
"11/03/2015 17:19:43:644 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","confirmationSkeptic","_network_type","proportionSkeptic","discovery_type","_nodes","_log","_exportMovie","[step]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","26","201","97","74","89","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","22","201","75","83","0","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","27","201","101","77","89","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","28","201","101","79","89","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","23","201","79","87","0","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","29","201","102","82","89","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","30","201","106","85","89","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","24","201","83","91","0","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","31","201","108","88","89","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","25","201","87","98","0","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","32","201","108","92","88","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","33","201","114","97","88","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","26","201","89","102","0","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","34","201","118","100","86","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","27","201","91","105","0","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","35","201","123","103","84","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","36","201","127","105","82","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","28","201","92","107","0","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","29","201","94","110","0","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","37","201","131","107","80","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","38","201","131","108","79","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","39","201","133","108","79","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","30","201","96","114","0","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","40","201","139","109","78","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","31","201","100","120","0","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","41","201","139","109","79","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","42","201","141","109","80","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","32","201","101","125","0","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","33","201","103","129","0","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","43","201","141","109","81","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","44","201","141","109","82","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","45","201","142","109","84","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","34","201","105","134","0","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","35","201","105","139","0","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","46","201","146","109","86","1","1"
