"BehaviorSpace results (NetLogo 5.2.1)"
"trust01_v9b.nlogo"
"experiment"
"11/05/2015 09:38:09:868 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","_log","discovery_type","_exportMovie","proportionSkeptic","_network_type","_nodes","confirmationSkeptic","[step]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
"21","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","10","6","0","0.2","1"
"22","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","0","1","2","0.2","0.2"
"22","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","0","2","4","0.2","0.2"
"21","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","11","8","0","0.2","1"
"22","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","1","2","6","0.2","0.2"
"21","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","13","11","0","0.2","1"
"16","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","15","7","0","0.5","1"
"22","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","1","1","8","0.2","0.2"
"16","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","16","8","0","0.5","1"
"22","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","2","0","11","0.2","0.2"
"16","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","7","11","17","10","0","0.5","1"
"23","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","1","0.2"
"16","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","8","11","17","11","0","0.5","1"
"23","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","2","1","1","1","0.2"
"23","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","4","1","2","1","0.2"
"23","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","6","1","3","1","0.2"
"24","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","1","0.2"
"24","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","1","2","2","1","0.2"
"24","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","3","3","4","1","0.2"
"24","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","3","3","5","1","0.2"
"24","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","4","2","7","1","0.2"
"24","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","5","1","9","1","0.2"
"24","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","5","1","10","1","0.2"
"23","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","8","1","4","1","0.2"
"26","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","1","1"
"23","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","10","0","5","1","0.2"
"26","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","1","2","2","1","1"
"23","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","10","0","6","1","0.2"
"26","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","2","3","3","1","1"
"23","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","7","11","10","0","7","1","0.2"
"26","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","3","4","4","1","1"
"23","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","8","11","10","0","8","1","0.2"
"23","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","9","11","11","0","10","1","0.2"
"23","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","10","11","12","0","11","1","0.2"
"26","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","6","5","4","1","1"
"26","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","10","7","3","1","1"
"20","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","11","1","6","1","0.5"
"20","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","13","1","7","1","0.5"
"20","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","16","1","9","1","0.5"
"26","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","13","8","3","1","1"
"20","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","7","11","18","1","10","1","0.5"
"27","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","1","0.2"
"29","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","1","1"
"28","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","1","0.5"
"29","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","1","2","2","1","1"
"28","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","2","2","2","1","0.5"
"27","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","2","2","1","1","0.2"
"28","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","5","2","3","1","0.5"
"29","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","2","3","3","1","1"
"28","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","7","2","4","1","0.5"
"29","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","6","4","4","1","1"
"28","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","9","2","5","1","0.5"
"28","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","11","2","6","1","0.5"
"29","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","10","6","3","1","1"
"27","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","2","3","2","1","0.2"
"29","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","13","8","3","1","1"
"28","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","13","2","7","1","0.5"
"27","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","2","4","4","1","0.2"
"28","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","7","11","15","2","8","1","0.5"
"30","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","1","1"
"30","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","1","2","2","1","1"
"27","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","4","3","5","1","0.2"
"30","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","4","3","2","1","1"
"30","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","7","5","2","1","1"
"27","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","7","3","7","1","0.2"
"27","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","10","2","9","1","0.2"
"25","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","1","1"
"25","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","3","1","2","1","1"
"30","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","12","8","1","1","1"
"25","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","5","0","3","1","1"
"28","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","8","11","20","1","10","1","0.5"
"30","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","15","10","1","1","1"
"25","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","6","0","4","1","1"
"25","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","7","0","5","1","1"
"25","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","7","0","6","1","1"
"25","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","8","0","7","1","1"
"25","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","7","11","9","0","8","1","1"
"25","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","8","11","9","0","9","1","1"
"25","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","9","11","9","0","10","1","1"
"25","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","10","11","9","0","11","1","1"
